FY 2015 IPPS Final Rule: Hospital Readmissions Reduction Program-Supplemental Data-                                                  Reflects Corrections from October 2014 Correction Notice,,,,,,,,,,,,,,,
PROV, Corrected FY 2015  Readmissions Adjustment Factor,Number of Pneumonia Cases,Excess Readmission Ratio for Pneumonia,Number of Heart Failure Cases,Excess Readmission Ratio for Heart Failure,Number of Acute Myocardial Infarction Cases,Acute Myocardial Infarction Excess Readmission Ratio,Number of Hip/Knee Arthroplasty Cases,Hip/Knee Arthroplasty Excess Readmission Ratio,Number of Chronic Obstructive Pulmonary Disease Cases,Chronic Obstructive Pulmonary Disease Excess Readmission Ratio,,,,
030123,1.0000,195,0.978790178,140,0.952472264,41,0.980695488,411,0.850193993,101,0.998190003,,,,
030126,0.9985,97,1.019398773,116,0.975284418,91,1.006537815,1,0,141,1.012680936,,,,
030130,1.0000,54,0.997555805,26,0.98894735,1,0,13,0,64,0.995833041,,,,
030131,1.0000,0,0,0,0,0,0,954,0.747007703,0,0,,,,
030132,1.0000,20,0,14,0,1,0,0,0,19,0,,,,
030134,1.0000,0,0,0,0,0,0,0,0,0,0,,,,
040001,0.9964,196,1.006832152,95,1.095555291,11,0,17,0,130,0.972318594,,,,
040002,0.9941,186,1.080012532,80,0.979199179,18,0,37,0.964657604,113,1.004200742,,,,
040004,1.0000,397,0.911339528,620,0.919511335,345,0.946703038,598,0.741782468,351,0.936880319,,,,
040007,0.9937,444,0.926566516,726,1.023317998,180,0.920655765,1061,1.125531079,307,1.029633662,,,,
040010,1.0000,329,0.946901022,398,0.874948013,234,0.978329637,304,0.995484256,215,0.961333234,,,,
040011,0.9817,128,1.147859769,108,1.100418543,49,1.060169474,0,0,213,1.142616243,,,,
040014,0.9845,854,1.142963283,654,1.042172279,224,0.986995587,201,1.352415795,611,1.005667979,,,,
040015,1.0000,125,0.975193244,100,0.976889786,10,0,0,0,259,0.896181098,,,,
040016,0.9975,397,1.028070603,265,1.068945288,120,1.174084345,41,0.890455862,137,0.995772223,,,,
040017,0.9921,624,0.959086361,193,0.97568333,36,1.002580437,212,1.12630528,235,0.909798828,,,,
040018,0.9855,131,1.089185589,76,1.041852351,9,0,39,0.964538711,119,1.147476064,,,,
040019,0.9956,94,1.041941565,73,1.054232582,11,0,0,0,98,0.96805471,,,,
040020,0.9945,577,0.940670136,651,0.89996671,426,1.078308277,482,1.11154923,688,0.949627745,,,,
040022,0.9917,453,1.026199933,594,0.986433796,394,1.132581745,162,1.118906624,487,1.017230536,,,,
040026,1.0000,868,0.955885678,689,0.954861154,241,0.97749824,667,0.969657602,396,0.972150676,,,,
040027,0.9837,790,1.165606353,610,1.005641897,367,1.095816339,512,1.106853466,547,1.023247402,,,,
040029,0.9958,499,0.99101725,209,0.928906433,198,0.902681642,311,1.050988771,301,1.094873293,,,,
040036,0.9912,627,1.103232044,589,1.216557839,329,0.998090911,326,0.965972709,468,0.991171858,,,,
040039,0.9833,391,1.090507308,248,1.143303657,123,1.143380845,65,1.076551367,304,1.015167452,,,,
040041,0.9974,323,0.926989122,272,1.018979661,127,1.067525735,193,0.979746025,241,0.986429645,,,,
040042,0.9922,214,1.097590094,184,1.008079307,15,0,6,0,229,1.067129779,,,,
040047,0.9893,223,1.04079749,88,1.06061734,10,0,0,0,54,0.982122057,,,,
040050,1.0000,110,0.974677882,120,0.959684605,5,0,0,0,131,0.933589669,,,,
040051,0.9917,360,1.032056025,115,1.019782844,10,0,0,0,131,1.082280755,,,,
040055,0.9958,557,0.867564532,728,1.065098163,529,1.054787449,347,0.814628854,809,1.006410599,,,,
040062,1.0000,474,0.85028641,522,0.998454523,306,0.89952486,632,0.868199827,392,0.862656917,,,,
040067,0.9955,126,0.941118165,138,1.01153632,5,0,0,0,147,1.064250055,,,,
040069,0.9846,138,1.144121092,78,1.048317765,11,0,0,0,82,1.052662845,,,,
040071,0.9975,249,1.002747634,198,1.022175181,149,0.962537103,253,1.050994945,310,1.026023433,,,,
040072,0.9936,95,0.907492008,138,1.099874891,15,0,0,0,185,1.020625307,,,,
040074,0.9864,154,1.080048786,84,1.185679772,15,0,5,0,99,0.972387817,,,,
040076,0.9897,314,1.038625906,101,1.089124452,8,0,0,0,168,1.061009352,,,,
040078,0.9807,353,1.11047672,345,1.187783569,97,1.034404541,166,1.317243623,241,0.990255512,,,,
040080,0.9785,208,1.121963455,143,1.131307132,3,0,0,0,159,1.116598502,,,,
040084,0.9857,344,1.086084178,297,1.044472929,120,1.045546755,187,1.13610441,312,1.069366707,,,,
040085,0.9842,86,1.020437019,188,1.136031289,6,0,0,0,124,1.085240781,,,,
040088,0.9960,241,0.969722216,366,1.05634398,151,0.999492512,228,1.030309904,187,1.033544521,,,,
040114,0.9919,838,1.029983486,1120,0.97248807,554,0.903203129,669,1.317746493,695,1.076769712,,,,
040118,0.9889,508,0.967330689,395,1.062366118,182,0.982079875,442,1.136040105,305,1.038365587,,,,
040119,0.9747,639,1.063583706,576,1.100722117,281,1.144536477,327,1.30198521,410,1.035144497,,,,
040134,0.9999,144,1.009224062,775,0.986577977,632,0.951664145,0,0,85,0.960742812,,,,
040137,0.9959,153,0.973713364,153,1.091736857,18,0,20,0,119,0.997873342,,,,
040147,1.0000,0,0,0,0,0,0,1779,0.756412526,0,0,,,,
040152,0.9700,8,0,0,0,0,0,392,1.172158691,0,0,,,,
040153,1.0000,44,0.981561044,38,0.945442615,1,0,0,0,35,0.994586236,,,,
050002,0.9894,136,1.073376383,264,1.030610378,120,1.042616124,78,1.274766858,252,1.10214499,,,,
050006,1.0000,204,0.826076677,284,0.897777702,215,0.928212936,184,0.776177637,186,0.903728847,,,,
050007,1.0000,341,0.914830412,441,0.93757991,210,0.886327705,347,0.909183704,246,0.941182516,,,,
050008,0.9999,59,0.973839827,52,0.962616635,2,0,5,0,26,1.019974817,,,,
050009,0.9997,338,0.905908003,459,0.94866558,162,0.982936093,338,1.002921821,230,1.008274002,,,,
050013,1.0000,128,1.002751508,214,0.905916775,131,0.92595695,1531,0.916518947,136,0.937622257,,,,
050014,0.9978,185,0.873191852,126,0.976156705,16,0,81,1.052898431,127,0.974850977,,,,
050016,1.0000,107,0.979217546,136,0.992648758,13,0,347,0.757487838,108,0.938217031,,,,
050017,0.9993,208,0.975640552,384,0.914561981,635,0.975326648,218,0.777412237,241,1.069230955,,,,
050018,0.9985,110,1.02201122,160,1.019721644,12,0,22,0,167,0.957405646,,,,
050022,0.9907,362,1.094888571,421,1.160683777,387,1.058692328,146,0.828041114,230,1.093064803,,,,
050024,0.9995,157,0.996510318,344,0.981178853,62,1.065806004,5,0,150,0.886515493,,,,
050025,0.9979,303,1.08922912,395,1.076200178,267,0.977172866,343,0.874600186,164,0.968936892,,,,
050026,0.9996,558,1.022121532,785,0.960285702,220,0.990175176,475,0.949333036,723,1.002825591,,,,
050028,1.0000,128,0.915709551,69,0.902924569,7,0,10,0,109,0.956947884,,,,
050030,0.9897,340,1.117804368,427,1.137789155,73,1.079058231,137,0.987372924,535,1.061816536,,,,
050036,0.9946,271,1.011024111,332,1.0909962,235,1.082635742,211,1.008772054,330,1.007807414,,,,
050038,0.9990,131,1.008708405,206,1.043946401,78,0.99636779,15,0,112,1.004298836,,,,
050039,0.9795,679,1.106778135,442,1.042269867,457,1.074442632,464,1.392275845,808,1.129864261,,,,
050040,0.9962,48,1.110067771,58,1.064793962,12,0,0,0,23,0,,,,
050042,1.0000,219,0.931685064,174,0.814523516,22,0,142,0.927467523,236,0.906489059,,,,
050043,0.9909,351,1.004565285,559,0.971591718,336,1.063053398,344,1.24370254,340,0.995567017,,,,
050045,0.9910,312,1.1117676,339,1.046672378,85,1.007555385,167,1.074214467,163,0.99968643,,,,
050046,1.0000,62,0.944210806,27,0.963090042,4,0,26,0.99072314,34,0.973875022,,,,
050047,0.9999,346,0.965315203,547,0.85992094,199,1.004388773,801,0.852514858,172,0.997874753,,,,
050054,0.9979,177,0.979487648,130,1.040081139,58,0.973059048,27,1.011581732,93,0.923944383,,,,
050055,0.9978,109,0.982290279,153,1.052227168,17,0,46,0.989813681,71,0.973635006,,,,
050056,0.9967,291,1.094421424,369,0.955739128,223,1.030963215,137,0.986795664,480,1.0288311,,,,
050057,1.0000,924,0.843537335,709,0.959173024,428,0.986984645,424,0.902879137,502,0.995546631,,,,
050058,0.9839,415,1.098921758,622,1.125381511,177,1.050457766,178,1.231578571,337,0.923431231,,,,
050060,0.9957,422,1.090229313,547,1.071813775,434,1.065454801,345,0.898298631,336,0.978575727,,,,
050063,0.9918,245,1.000780778,374,1.074736852,135,1.103039813,81,1.073746043,377,1.122286598,,,,
050067,0.9971,57,0.963712685,55,1.06724161,11,0,23,0,68,0.998109363,,,,
050069,0.9994,349,0.937608581,488,0.949761122,202,0.905039585,485,0.869989285,209,1.069810034,,,,
050070,1.0000,10,0,6,0,0,0,9,0,7,0,,,,
050071,0.9992,6,0,29,1.090752705,25,0.968040871,14,0,10,0,,,,
050072,1.0000,3,0,13,0,3,0,9,0,3,0,,,,
050073,1.0000,23,0,31,1.000054662,11,0,20,0,24,0,,,,
050075,0.9995,13,0,28,1.063966663,4,0,11,0,17,0,,,,
050076,0.9994,3,0,15,0,27,1.018694438,5,0,7,0,,,,
050077,0.9945,565,1.027451302,729,1.120269839,294,0.903402063,432,1.068530848,576,0.998134404,,,,
050078,0.9977,153,1.041444119,127,0.966735488,25,1.051902117,48,1.057580524,126,0.955007127,,,,
050079,0.9940,193,0.923453182,385,1.0884416,156,1.023789615,63,1.079522279,342,1.005370865,,,,
050082,0.9928,425,1.023192921,485,0.865611614,252,1.039562842,202,1.23486186,270,0.963138195,,,,
050084,0.9998,581,0.97521512,639,0.987315376,328,0.950068275,33,0.957816076,428,1.013147433,,,,
050089,0.9994,88,0.979728286,71,1.032717836,17,0,5,0,108,0.984072991,,,,
050090,1.0000,68,0.935896487,107,0.821589347,22,0,84,0.916784176,52,0.955092798,,,,
050091,0.9882,43,1.058686697,109,1.022175517,7,0,22,0,189,1.121117089,,,,
050093,0.9938,1091,1.145821025,1319,1.060752312,515,0.93892765,764,0.87979401,777,1.014307164,,,,
050096,1.0000,0,0,1,0,0,0,37,0.964693675,4,0,,,,
050099,0.9964,498,0.846731885,434,1.004483067,250,0.946993037,220,1.133041161,198,0.937527546,,,,
050100,0.9997,475,0.916117692,575,0.94194814,232,1.015732447,431,0.966663824,304,0.970622282,,,,
050101,0.9987,95,0.898001561,111,1.066792146,28,0.973625455,108,0.917628485,109,1.001974395,,,,
050102,0.9922,212,0.91110803,139,1.01369755,22,0,274,1.088360503,116,1.045836232,,,,
050103,0.9972,241,0.9875745,298,0.975789788,127,1.060431487,95,1.14245181,177,0.968805514,,,,
050104,1.0000,109,0.931896335,284,0.913071012,63,0.997060885,21,0,128,0.975293508,,,,
050107,1.0000,248,0.828048951,304,0.953920587,158,0.938823498,339,0.737153375,292,0.975515278,,,,
050108,0.9995,318,0.965338923,591,0.98000656,456,0.91359813,1032,0.626170104,358,1.05830132,,,,
050110,0.9999,191,0.935836196,94,0.92774934,11,0,103,1.001431919,120,0.99693182,,,,
050111,1.0000,111,0.955517734,128,0.985438085,43,1.000934674,3,0,265,0.923851599,,,,
050112,0.9892,416,1.19873991,371,1.118337119,160,1.086124096,467,1.057984778,189,1.004958969,,,,
050113,1.0000,25,0.956385375,19,0,9,0,7,0,23,0,,,,
050115,1.0000,317,0.9527459,333,0.945413506,217,0.934921401,313,0.795353993,257,0.971012909,,,,
050116,0.9968,386,0.994501599,601,1.04671033,288,0.950714193,356,1.039801183,259,0.968235423,,,,
